;Country;Population;longitude;latitude;N;Frequency_of_digestors;Reference
465;FINLAND;Finnish-speaking Finns;21,43;60,6;91;0,92;Sahi, T. (1974) Scand.J.Gastroenterol. 9, 303.
466;FINLAND;Finns;27,68;62,9;638;0,83;Jussila, J. (1969) Ann.Clin.Res. 1, 199.
467;FINLAND;Rural Finn;21,93;60,41;159;0,83;Jussila, J., et al. (1970) Scand.J.Gastroenterol. 5, 49.
468;FINLAND;Swedish-speaking Finns;21,43;60,6;156;0,83;Sahi, T. (1974) Scand.J.Gastroenterol. 9, 303.
469;FORMER CZECHOSLOVAKIA;Czech;17,5;49;17;0,82;Leichter, J. (1972) Am.J.Dig.Dis. 17, 73.
84;France;French Basque;2,213749;46,227638;48;0,89;Bersaglieri, 04 (with adaptions in Itan 10)
85;France;French;2,213749;46,227638;58;0,68;Bersaglieri, 04 (with adaptions in Itan 10)
86;France;Not specified;2,213749;46,227638;17;0,588;Enattah, 2007. Evidence
470;FRANCE;French;5,82;44,93;102;0,76;Cloarec, D., et al. (1991) Gastroenterol.Clin.Biol 15, 588.
471;FRANCE;French;6,63;49,75;85;0,71;Cuddenec, Y., et al. (1982) Gastroenterol.Clin.Biol 6, 776.
472;FRANCE;Maghrebins (Northern African Muslims);7,25;43,7;55;0,22;O'Morain, C., et al. (1978) Acta Gastroenterol Belg 41, 56-63.
473;FRANCE;Northern French;6,63;49,75;76;0,78;Cuddenec, Y., et al. (1982) Gastroenterol.Clin.Biol 6, 776.
474;FRANCE;Southern French;6,63;49,75;40;0,43;Cuddenec, Y., et al. (1982) Gastroenterol.Clin.Biol 6, 776.
475;FRANCE;Southern French;7,25;43,7;55;0,58;O'Morain, C., et al. (1978) Acta Gastroenterol Belg 41, 56-63.
321;GABON;Bantu;9,45;0,38;20;0,4;Gendrel, D., et al. (1989) J.Pediatr.Gastroenterol.Nutr. 8, 545.
87;Germany;Ethnic germans;10,451526;51,165691;1805;0,852;Flatz, 1982. Distribution
476;GERMANY;Baden-Wurttemberg Germans;9,5;48,4;136;0,76;Flatz, G., et al. (1982) Hum.Genet 62, 152.
477;GERMANY;Bayern Germans;12,53;47,8;221;0,86;Flatz, G., et al. (1982) Hum.Genet 62, 152.
478;GERMANY;Eastern Germans;13,75;51,05;246;0,78;Flatz, G., et al. (1982) Hum.Genet 62, 152.
479;GERMANY;Germans;8,52;53,18;60;0,87;Howell, J. N., et al. (1980) Hepatogastroenterology 27, 208.
480;GERMANY;Northwest Germans;8,8;53,08;341;0,91;Flatz, G., et al. (1982) Hum.Genet 62, 152.
481;GERMANY;Rheinland and Pfalz Germans;8,27;50;182;0,86;Flatz, G., et al. (1982) Hum.Genet 62, 152.
482;GERMANY;Schleswig-Holstein Germans;9,55;54,52;100;0,94;Flatz, G., et al. (1982) Hum.Genet 62, 152.
88;Ghana;Asante;-1,023194;7,946527;68;0;Jones, 2015. Diversity (supplementary table 2)
89;Ghana;Builsa;-1,023194;7,946527;38;0;Jones, 2015. Diversity (supplementary table 2)
90;Ghana;Ghanaian;-1,023194;7,946527;196;0;Torniainen, 09. Screening
95;Greece;Greek;21,824312;39,074208;100;0,17;Anagnostou, 09. Tracing
483;GREECE;Continental Greeks;23,73;37,98;600;0,55;Kanaghinis, T., et al. (1974) Am.J.Dig.Dis. 19, 1021.
484;GREECE;Cretan Greek;25,13;35,33;50;0,44;Kanaghinis, T., et al. (1974) Am.J.Dig.Dis. 19, 1021.
485;GREECE;Greek;23,73;37,98;16;0,63;Spanidou, E. P., & Petrakis, NL (1972) Lancet 2, 872.
486;GREECE;Greeks;23,73;37,98;200;0,25;Ladas, S., et al. (1982) Gut 23, 968.
487;GREECE;Greeks;23,73;37,98;250;0,77;Zografos et al. (1973), The Lancet, 301,367.   
96;Hungary;Present day Hungarians;19,503304;47,162494;181;0,61;Nagy, 11. Comparison
97;Hungary;Seklers (Eastern Transylvania);19,503304;47,162494;65;0,71;Nagy, 11. Comparison
98;Hungary;Caucasian-Hungarian individuals;19,503304;47,162494;110;0,63;Nagy, 09. Prevalence
99;Hungary;General population;19,503304;47,162494;535;0,63;Czeizel, 1983. Prevalence
488;HUNGARY;Eastern Hungarian;19,08;47,5;70;0,71;Czeizel, A., et al. (1983) Hum.Genet 64, 398.
489;HUNGARY;Hungarian;19,08;47,5;262;0,59;Czeizel, A., et al. (1983) Hum.Genet 64, 398.
490;HUNGARY;Matyo;20,58;47,82;172;0,63;Czeizel, A., et al. (1983) Hum.Genet 64, 398.
491;HUNGARY;Northeastern Hungarian;19,08;47,5;103;0,58;Czeizel, A., et al. (1983) Hum.Genet 64, 398.
492;HUNGARY;Romai;21,72;47,95;113;0,44;Czeizel, A., et al. (1983) Hum.Genet 64, 398.
493;HUNGARY;Western Hungarian;19,08;47,5;100;0,72;Czeizel, A., et al. (1983) Hum.Genet 64, 398.
102;India;Natives from Northern India;78,96288;20,593684;252;0,39;Kumar, 2011. Frequency
103;India;New Dehli;78,96288;20,593684;45;0,733;Gupta, 12. Evaluation
104;India;North;78,96288;20,593684;77;0,325;Babu, 2010, Frequency
105;India;North;78,96288;20,593684;124;0,726;Tandon, 81. Lactose
106;India;Not specified;78,96288;20,593684;53;0,4;Gupta, 07. Lactose
107;India;Not specified;78,96288;20,593684;81;0,415;Agarwal, 2008. Lactose
108;India;South;78,96288;20,593684;60;0,334;Tandon, 81. Lactose
109;India;South;78,96288;20,593684;76;0,132;Babu, 2010, Frequency
